data,ticker,fechamento,quantidade,volume
2024-01-04,AURE3,13.33,3371900,44971211.0
2024-01-04,AZUL4,13.84,10871600,151732105.0
2024-01-04,B3SA3,13.72,41789500,578660635.0
2024-01-04,BBAS3,54.23,8099900,441491358.0
2024-01-04,BBDC3,14.9,4189100,62748190.0
2024-01-04,BBDC4,16.52,31294000,520842300.0
2024-01-04,BBSE3,33.98,4831000,164287568.0
2024-01-04,BEEF3,7.1,14463400,102581620.0
2024-01-04,BHIA3,10.35,3046600,32149141.0
2024-01-04,BPAC11,35.96,7690100,277106285.0
2024-01-04,BPAN4,7.92,2687300,21275724.0
2024-01-04,BRAP4,25.2,1505900,37954913.0
2024-01-04,BRFS3,12.57,9288200,115615349.0
2024-01-04,BRKM5,20.67,2761800,56989159.0
2024-01-04,CASH3,7.68,2141800,16460999.0
2024-01-04,CCRO3,13.74,5449400,74980248.0
2024-01-04,CEAB3,7.26,2993800,21994933.0
2024-01-04,CIEL3,4.63,33304400,156177543.0
2024-01-04,CMIG4,11.42,11907400,136578470.0
2024-01-04,CMIN3,7.86,9880300,77387302.0
2024-01-04,COGN3,3.25,27099300,88909049.0
2024-01-04,CPFE3,38.24,763800,29236932.0
2024-01-04,CPLE3,9.06,2953000,26823236.0
2024-01-04,CPLE6,10.0,13116300,130988581.0
2024-01-04,CRFB3,11.77,3575200,42021583.0
2024-01-04,CSAN3,19.04,5854500,111438603.0
2024-01-04,CSMG3,20.44,931000,18928691.0
2024-01-04,CSNA3,19.29,5293800,101914211.0
2024-01-04,CURY3,16.8,1974200,33309209.0
2024-01-04,CVCB3,3.19,20453400,65558042.0
2024-01-04,CXSE3,12.82,2219900,28464432.0
2024-01-04,CYRE3,21.92,9310600,204493815.0
2024-01-04,DIRR3,21.0,1716500,36085861.0
2024-01-04,DXCO3,7.46,3056700,22950187.0
2024-01-04,ECOR3,9.15,3329100,30458975.0
2024-01-04,EGIE3,44.37,719600,31901143.0
2024-01-04,ELET3,41.33,3017000,124555963.0
2024-01-04,ELET6,45.93,553200,25353904.0
2024-01-04,EMBR3,21.15,7915400,167612882.0
2024-01-04,ENEV3,13.3,4154900,55081588.0
2024-01-04,ENGI11,51.95,1683800,87477625.0
2024-01-04,EQTL3,34.83,5248000,183204469.0
2024-01-04,EZTC3,16.53,1913300,32040519.0
2024-01-04,FLRY3,17.43,1828100,31776666.0
2024-01-04,GGBR4,23.15,6125900,141967982.0
2024-01-04,GOAU4,10.6,7236900,76908582.0
2024-01-04,GOLL4,7.93,5363300,42871631.0
2024-01-04,HAPV3,4.11,47624100,197290805.0
2024-01-04,HYPE3,34.56,4872200,168572851.0
2024-01-04,IGTI11,24.15,4988500,121071326.0
2024-01-04,IRBR3,41.99,1907700,79847531.0
2024-01-04,ITSA4,10.02,25078600,251980623.0
2024-01-04,ITUB4,32.93,26585200,877073409.0
2024-01-04,JBSS3,24.12,4164000,100320352.0
2024-01-04,JHSF3,5.06,2718500,13866424.0
2024-01-04,KLBN11,21.87,2664300,58503291.0
2024-01-04,LOGG3,20.42,225800,4596182.0
2024-01-04,LREN3,16.23,15440500,252385399.0
2024-01-04,LWSA3,5.42,7361800,40140567.0
2024-01-04,MGLU3,1.93,125631300,245725741.0
2024-01-04,MRFG3,9.37,6963800,65019479.0
2024-01-04,MRVE3,9.81,18504800,183633019.0
2024-01-04,MULT3,27.8,2137000,59078088.0
2024-01-04,NTCO3,16.15,7796200,126716024.0
2024-01-04,PCAR3,4.45,16215200,73198371.0
2024-01-04,PETR3,40.04,10680600,434404893.0
2024-01-04,PETR4,38.63,45344900,1768450856.0
2024-01-04,PETZ3,3.66,10867900,39689228.0
2024-01-04,POMO4,7.2,7433800,53840348.0
2024-01-04,PRIO3,46.42,7873100,366913626.0
2024-01-04,PSSA3,28.45,758700,21544221.0
2024-01-04,QUAL3,3.14,4604100,14519570.0
2024-01-04,RADL3,29.27,2288500,66653144.0
2024-01-04,RAIL3,22.4,7859600,176187128.0
2024-01-04,RAIZ4,4.02,10576600,42551946.0
2024-01-04,RDOR3,27.24,2447500,66465367.0
