data,ticker,fechamento
2019-01-08,ENGI11,37.8
2019-01-08,EQTL3,78.7
2019-01-08,ESTC3,24.94
2019-01-08,EZTC3,24.86
2019-01-08,FLRY3,21.4
2019-01-08,GGBR4,15.56
2019-01-08,GNDI3,29.5
2019-01-08,GOAU4,7.37
2019-01-08,GOLL4,23.59
2019-01-08,HAPV3,30.5
2019-01-08,HGTX3,28.39
2019-01-08,HYPE3,30.9
2019-01-08,IGTA3,40.55
2019-01-08,IRBR3,83.0
2019-01-08,ITSA4,12.88
2019-01-08,ITUB4,37.52
2019-01-08,JBSS3,12.3
2019-01-08,JHSF3,1.98
2019-01-08,KLBN11,17.07
2019-01-08,KROT3,9.2
2019-01-08,LAME4,20.01
2019-01-08,LCAM3,35.45
2019-01-08,LOGG3,15.87
2019-01-08,LREN3,41.7
2019-01-08,MGLU3,179.71
2019-01-08,MRFG3,5.56
2019-01-08,MRVE3,13.05
2019-01-08,MULT3,24.07
2019-01-08,NATU3,44.36
2019-01-08,PCAR4,84.01
2019-01-08,PETR3,28.25
2019-01-08,PETR4,24.96
2019-01-08,POMO4,4.19
2019-01-08,PRIO3,107.07
2019-01-08,PSSA3,50.4
2019-01-08,QUAL3,13.3
2019-01-08,RADL3,58.15
2019-01-08,RAIL3,17.12
2019-01-08,RENT3,29.51
2019-01-08,SANB11,46.36
2019-01-08,SBSP3,37.14
2019-01-08,SLCE3,41.51
2019-01-08,SMLS3,41.87
2019-01-08,SMTO3,17.81
2019-01-08,STBP3,4.22
2019-01-08,SULA11,27.15
2019-01-08,SUZB3,36.2
2019-01-08,TAEE11,24.8
2019-01-08,TEND3,34.78
2019-01-08,TIMP3,12.84
2019-01-08,TOTS3,28.27
2019-01-08,TRPL4,72.79
2019-01-08,UGPA3,50.5
2019-01-08,USIM5,9.77
2019-01-08,VALE3,52.41
2019-01-08,VIVT3,40.3
2019-01-08,VIVT4,48.01
2019-01-08,VVAR3,4.04
2019-01-08,WEGE3,18.16
2019-01-09,ABEV3,16.38
2019-01-09,ALPA4,18.94
2019-01-09,ARZZ3,55.28
2019-01-09,AZUL4,35.15
2019-01-09,B3SA3,28.01
2019-01-09,BBAS3,47.8
2019-01-09,BBDC3,37.16
2019-01-09,BBDC4,41.9
2019-01-09,BBSE3,26.65
2019-01-09,BEEF3,5.4
2019-01-09,BIDI4,39.95
2019-01-09,BPAC11,26.25
2019-01-09,BPAN4,1.96
2019-01-09,BRAP4,32.8
2019-01-09,BRDT3,26.01
2019-01-09,BRFS3,23.55
2019-01-09,BRKM5,48.01
2019-01-09,BRML3,13.44
2019-01-09,BTOW3,44.78
2019-01-09,CCRO3,12.7
2019-01-09,CIEL3,10.13
2019-01-09,CMIG4,13.59
2019-01-09,CPFE3,28.6
2019-01-09,CPLE3,30.03
2019-01-09,CPLE6,31.51
2019-01-09,CRFB3,19.11
2019-01-09,CSAN3,38.82
2019-01-09,CSMG3,63.53
